"zip_code","lat","lon"
"02021",42.1649,-71.1328
"02025",42.237,-70.8098
"02026",42.2429,-71.1645
"02027",42.2484,-71.1743
"02030",42.2344,-71.2751
"02032",42.1563,-71.2132
"02035",42.065,-71.2423
"02037",32.851,-117.2537
"02038",42.0903,-71.402
"02040",42.1778,-70.7474
"02041",42.0796,-70.6516
"02043",42.2292,-70.8892
"02044",42.2426,-70.889
"02045",42.2857,-70.8739
"02047",42.1336,-70.6881
"02048",42.0282,-71.2167
"02050",42.1116,-70.6942
"02051",42.0909,-70.7083
"02052",42.1826,-71.3068
"02053",42.1445,-71.4234
"02054",42.1633,-71.3683
"02055",42.2399,-70.7615
"02056",42.1158,-71.3345
"02059",42.0795,-70.6511
"02060",42.2193,-70.7846
"02061",42.1724,-70.8178
"02062",42.1863,-71.203
"02065",42.0912,-70.6469
"02066",42.209,-70.7508
"02067",42.1205,-71.1785
"02070",42.0361,-71.3857
"02071",42.0979,-71.2765
"02072",42.1273,-71.1067
"02075",42.1208,-71.0964
"02081",42.1442,-71.2534
"02090",42.2151,-71.2185
"02093",42.0549,-71.3494
"02102",42.3554,-71.0605
"02108",42.3579,-71.0625
"02109",42.3591,-71.0552
"02110",42.3563,-71.0542
"02111",42.352,-71.0597
"02112",42.3531,-71.0608
"02113",42.3647,-71.0547
"02114",42.3612,-71.0652
"02115",42.3439,-71.0898
"02116",42.3508,-71.0746
"02117",42.3484,-71.074
"02118",42.3402,-71.0736
"02119",42.3251,-71.0847
"02120",42.3341,-71.0978
"02121",42.31,-71.0829
"02122",42.2967,-71.0565
"02123",42.3448,-71.0865
"02124",42.288,-71.0726
"02125",42.3154,-71.062
"02126",42.2774,-71.0906
"02127",42.3354,-71.0432
"02128",42.3765,-71.03
"02129",42.3778,-71.0624
"02130",42.3126,-71.1101
"02131",42.2861,-71.1276
"02132",42.2777,-71.1554
"02133",42.3575,-71.0636
"02134",42.3515,-71.1316
"02135",42.3478,-71.1521
"02136",42.2559,-71.1232
"02137",42.2371,-71.1318
"02138",42.3774,-71.1224
"02139",42.3657,-71.1043
"02140",42.3925,-71.1291
"02141",42.3715,-71.0835
"02142",42.3622,-71.0847
"02143",42.3816,-71.1008
"02144",42.3987,-71.1205
"02145",42.3925,-71.0892
"02148",42.4295,-71.0599
